Pop,IndID,Cap,Brac_RowNr,SerBrac_RowNr,Brac_appress,Brac_Color,SerBrac_yes_no,Brac_Len,Brac_Wid,BracApCen_Len,BracApCen_Wid
LH,19,1,8,4,1,1,yes,165.42,54.93,36,33.36
LH,3,1,9,4,1,1,no,250.56,76.29,60,48.02
LH,4,2,8,2,1,1,yes,216.79,63.25,55.46,36.1
LH,5,1,6,1,1,1,no,200.11,85.34,45.35,38.69
MC,10,1,7,3,1,2,no,192.13,71.91,48.18,25.65
MC,11,2,11,4,1,1,no,248.13,81.73,57.33,34.77
MC,12,1,9,4,1,1,no,207.46,82.25,61.42,38.18
MC,13,1,8,4,2,2,no,215.88,96.89,75.47,34.41
MC,14,2,11,5,2,1,no,282.82,109.73,69.45,42.75
MC,20,1,8,2,1,3,no,247.66,57.77,79.29,16.11
MC,3,1,7,1,3,2,no,251.47,98.24,80.55,24.15
MC,6,1,8,2,1,1,no,190.18,42.69,29.81,20.04
MC,7,2,8,4,3,2,yes,243.09,104.03,62.79,74.67
MC,8,1,10,5,2,2,yes,249.39,78.71,52.15,39.6
